Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
12/09/2013,29150,22164,51314,7402,2707,10109,10588,15040,22164,37204,1887,4001
12/10/2013,29096,22060,51156,7417,2712,10129,10545,14976,22060,37036,1883,3991
12/11/2013,29085,22089,51174,7395,2694,10089,10565,15005,22089,37094,1883,3991
12/12/2013,29118,22085,51203,7415,2695,10110,10578,15025,22085,37110,1878,3983
12/13/2013,29007,22066,51073,7317,2693,10010,10570,15015,22066,37081,1877,3982
12/14/2013,28984,22036,51020,7333,2694,10027,10560,15003,22036,37039,1864,3954
12/15/2013,29083,22069,51152,7398,2706,10104,10575,15032,22069,37101,1861,3947
12/16/2013,29161,22054,51215,7442,2725,10167,10564,15027,22054,37081,1872,3967
12/17/2013,29156,22027,51183,7441,2728,10169,10562,15028,22027,37055,1866,3959
12/18/2013,29129,22022,51151,7421,2729,10150,10552,15005,22022,37027,1873,3974
12/20/2013,28878,21993,50871,7237,2687,9924,10537,14994,21993,36987,1866,3960
12/21/2013,28867,21984,50851,7210,2691,9901,10542,15005,21984,36989,1867,3961
12/22/2013,28960,22032,50992,7267,2698,9965,10565,15037,22032,37069,1865,3958
12/23/2013,29041,22041,51082,7308,2703,10011,10561,15046,22041,37087,1878,3984
12/24/2013,28826,21992,50818,7201,2671,9872,10532,15000,21992,36992,1863,3954
12/25/2013,28938,22027,50965,7261,2681,9942,10556,15036,22027,37063,1866,3960
12/26/2013,28997,22016,51013,7311,2692,10003,10547,15029,22016,37045,1868,3965
12/27/2013,28890,21971,50861,7281,2678,9959,10508,14973,21971,36944,1865,3958
12/28/2013,28826,21961,50787,7261,2660,9921,10494,14950,21961,36911,1864,3955
12/29/2013,28992,22002,50994,7374,2664,10038,10516,14981,22002,36983,1873,3973
12/30/2013,28947,21980,50927,7337,2684,10021,10500,14958,21980,36938,1871,3968
12/31/2013,28463,21907,50370,7030,2588,9618,10458,14889,21907,36796,1867,3956
01/01/2014,28770,21919,50689,7269,2650,9919,10469,14897,21919,36816,1866,3954
01/02/2014,28843,21954,50797,7289,2661,9950,10484,14930,21954,36884,1871,3963
01/03/2014,28947,22007,50954,7323,2678,10001,10521,14978,22007,36985,1872,3968
01/04/2014,28954,22003,50957,7320,2684,10004,10520,14971,22003,36974,1877,3979
01/05/2014,28991,21966,50957,7386,2692,10078,10502,14941,21966,36907,1874,3972
01/06/2014,28974,21936,50910,7399,2704,10103,10462,14896,21936,36832,1874,3975
01/07/2014,29110,21972,51082,7462,2745,10207,10487,14929,21972,36901,1874,3974
01/08/2014,29187,22132,51319,7423,2728,10151,10567,15051,22132,37183,1878,3985
01/09/2014,29190,22162,51352,7367,2736,10103,10586,15074,22162,37236,1892,4013
01/10/2014,29020,22105,51125,7344,2703,10047,10549,15016,22105,37121,1864,3957
01/11/2014,28983,22071,51054,7332,2694,10026,10543,14999,22071,37070,1865,3958
01/12/2014,29139,22122,51261,7387,2726,10113,10584,15055,22122,37177,1872,3971
01/13/2014,29189,22156,51345,7373,2749,10122,10598,15082,22156,37238,1881,3985
01/14/2014,29132,22095,51227,7386,2756,10142,10559,15026,22095,37121,1870,3964
01/15/2014,29169,22175,51344,7373,2771,10144,10591,15066,22175,37241,1867,3959
01/16/2014,29207,22206,51413,7391,2766,10157,10605,15087,22206,37293,1870,3963
01/17/2014,29157,22214,51371,7330,2756,10086,10609,15096,22214,37310,1876,3975
01/18/2014,29150,22169,51319,7369,2754,10123,10591,15065,22169,37234,1871,3962
01/19/2014,29249,22223,51472,7403,2765,10168,10624,15107,22223,37330,1877,3974
01/20/2014,29341,22244,51585,7459,2785,10244,10627,15115,22244,37359,1881,3982
01/21/2014,29395,22254,51649,7485,2787,10272,10627,15126,22254,37380,1888,3997
01/22/2014,29484,22325,51809,7511,2798,10309,10669,15179,22325,37504,1888,3996
01/23/2014,29552,22330,51882,7557,2804,10361,10666,15174,22330,37504,1898,4017
01/24/2014,29538,22369,51907,7506,2803,10309,10685,15213,22369,37582,1897,4016
01/25/2014,29520,22407,51927,7482,2800,10282,10698,15231,22407,37638,1893,4007
01/26/2014,29654,22467,52121,7540,2804,10344,10737,15282,22467,37749,1904,4028
01/27/2014,29680,22488,52168,7545,2814,10359,10740,15295,22488,37783,1903,4026
01/28/2014,29686,22492,52178,7556,2806,10362,10752,15305,22492,37797,1899,4019
01/29/2014,29735,22512,52247,7578,2816,10394,10767,15326,22512,37838,1897,4015
01/30/2014,29708,22523,52231,7540,2803,10343,10772,15341,22523,37864,1902,4024
01/31/2014,29412,22497,51909,7378,2733,10111,10744,15304,22497,37801,1891,3997
02/01/2014,29270,22398,51668,7371,2728,10099,10684,15213,22398,37611,1872,3958
02/02/2014,29309,22415,51724,7384,2730,10114,10692,15229,22415,37644,1875,3966
02/03/2014,29469,22474,51943,7455,2756,10211,10727,15278,22474,37752,1881,3980
02/04/2014,29566,22511,52077,7463,2770,10233,10759,15323,22511,37834,1895,4010
02/05/2014,29610,22527,52137,7497,2769,10266,10760,15322,22527,37849,1902,4022
02/06/2014,29662,22537,52199,7513,2761,10274,10767,15341,22537,37878,1914,4047
02/07/2014,29606,22556,52162,7452,2740,10192,10774,15356,22556,37912,1919,4058
02/08/2014,29502,22490,51992,7419,2744,10163,10742,15296,22490,37786,1911,4043
